選手,チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
オスナ,(ヤ),0.253,134,543,501,49,127,23,0,23,219,71,2,4,0,2,39,5,1,79,13,0.437,0.308
サンタナ,(ヤ),0.3,136,516,467,52,140,32,0,18,226,66,2,0,0,3,44,1,2,114,17,0.484,0.36
ノイジー,(神),0.24,133,516,475,42,114,13,1,9,156,56,0,0,0,3,36,0,2,85,13,0.328,0.295
ポランコ,(ロ),0.242,125,497,447,43,108,15,0,26,201,75,0,0,0,3,47,5,0,92,3,0.45,0.312
マキノン,(西),0.259,127,514,464,50,120,17,2,15,186,50,1,1,0,2,48,0,0,91,7,0.401,0.327
マルティネス,(日),0.246,119,444,386,39,95,24,0,15,164,66,0,4,0,3,44,0,11,99,15,0.425,0.338
安田　尚憲,(ロ),0.238,122,472,416,33,99,24,0,9,150,43,2,0,0,5,49,2,2,95,10,0.361,0.318
岡本　和真,(巨),0.278,140,589,503,83,140,31,0,41,294,93,0,1,0,6,72,10,8,111,10,0.584,0.374
岡林　勇希,(中),0.279,143,633,584,61,163,21,10,3,213,31,12,8,9,1,39,1,0,89,11,0.365,0.324
外崎　修汰,(西),0.26,136,571,503,60,131,28,3,12,201,54,26,3,3,4,56,0,5,114,11,0.4,0.338
関根　大気,(デ),0.261,140,532,482,69,126,17,3,4,161,31,11,3,16,1,29,1,4,53,5,0.334,0.308
菊池　涼介,(広),0.258,120,485,442,51,114,17,0,5,146,27,7,5,8,1,32,1,2,68,6,0.33,0.31
吉川　尚輝,(巨),0.256,132,478,430,47,110,19,4,7,158,36,4,4,11,3,26,2,8,66,12,0.367,0.308
宮﨑　敏郎,(デ),0.326,124,461,408,47,133,27,0,20,220,71,1,0,0,4,41,6,8,43,14,0.539,0.395
近藤　健介,(ソ),0.303,143,613,492,75,149,33,0,26,260,87,3,4,0,6,109,7,6,117,7,0.528,0.431
近本　光司,(神),0.285,129,585,501,83,143,24,12,8,215,54,28,3,0,5,67,2,12,71,6,0.429,0.379
桑原　将志,(デ),0.252,132,479,429,48,108,23,4,7,160,35,3,8,11,6,23,0,10,54,11,0.373,0.301
紅林　弘太郎,(オ),0.275,127,482,443,37,122,19,1,8,167,39,4,6,7,3,28,0,1,63,19,0.377,0.318
今宮　健太,(ソ),0.255,126,484,427,38,109,22,0,9,158,48,4,0,24,4,27,1,2,58,14,0.37,0.3
佐藤　輝明,(神),0.263,132,548,486,70,128,30,6,24,242,92,7,5,0,4,54,5,4,139,4,0.498,0.339
佐野　恵太,(デ),0.264,141,613,560,67,148,26,2,13,217,65,0,2,0,3,46,4,4,77,9,0.388,0.323
細川　成也,(中),0.253,140,576,518,62,131,30,1,24,235,78,0,0,0,1,49,3,8,161,17,0.454,0.326
坂倉　将吾,(広),0.266,120,448,395,48,105,19,1,12,162,44,3,0,1,2,47,6,3,67,9,0.41,0.347
坂本　勇人,(巨),0.288,116,455,403,46,116,29,0,22,211,60,2,0,3,2,45,3,2,84,5,0.524,0.361
山口　航輝,(ロ),0.235,115,474,421,46,99,21,0,14,162,57,0,0,0,5,43,6,5,122,7,0.385,0.31
